12,2013-07-28,95599000
12,2013-08-04,95900422
12,2013-08-11,96219815
12,2013-08-18,96505193
12,2013-08-25,96677932
12,2013-09-01,96771093
12,2013-09-08,98946000
12,2013-09-15,100400000
12,2013-09-19,100698529
13,2013-06-16,125080000
13,2013-06-23,210006000
13,2013-06-30,248660000
13,2013-07-07,271206000
13,2013-07-14,280995000
13,2013-07-21,285021000
13,2013-07-28,286818000
13,2013-08-04,287214823
13,2013-08-11,287931663
13,2013-08-18,289121541
13,2013-08-25,289875976
13,2013-09-01,290327998
13,2013-09-08,290804657
13,2013-09-15,290960548
13,2013-09-19,291039585
14,2013-06-23,82000000
14,2013-06-30,171006000
14,2013-07-07,216127000
14,2013-07-14,237760000
14,2013-07-21,248998000
14,2013-07-28,255345000
14,2013-08-04,258597000
14,2013-08-11,260100000
14,2013-08-18,261100000
14,2013-08-25,261796000
14,2013-09-01,263478000
14,2013-09-08,265002000
14,2013-09-15,265400000
14,2013-09-19,265455314
15,2013-06-23,66000000
15,2013-06-30,123722000
15,2013-07-07,158758000
15,2013-07-14,177087000
15,2013-07-21,186941000
15,2013-07-28,192620000
15,2013-08-04,195889000
15,2013-08-11,197473000
15,2013-08-18,198300000
15,2013-08-25,198854000
15,2013-09-01,200265000
15,2013-09-08,201344000
15,2013-09-15,201824000
15,2013-09-19,201922757
16,2013-06-30,25700000
16,2013-07-07,50478000
16,2013-07-14,62963000
16,2013-07-21,68453000
16,2013-07-28,70675000
16,2013-08-04,71077953
16,2013-08-11,71589170
16,2013-08-18,71947010
16,2013-08-25,72117169
16,2013-09-01,72425692
16,2013-09-08,72834443
16,2013-09-15,72997138
16,2013-09-19,73103784
17,2013-06-30,40000000
17,2013-07-07,86398000
17,2013-07-14,112363000
17,2013-07-21,129292000
17,2013-07-28,141245000
17,2013-08-04,149566000
17,2013-08-11,153616000
17,2013-08-18,155472000
17,2013-08-25,156378000
17,2013-09-01,157256000
17,2013-09-08,157531986
17,2013-09-15,158015132
17,2013-09-19,158373189
18,2013-07-07,142076000
18,2013-07-14,229237000
18,2013-07-21,276159000
18,2013-07-28,306413000
18,2013-08-04,326668000
18,2013-08-11,338314000
18,2013-08-18,345988000
18,2013-08-25,350659000
18,2013-09-01,354635000
18,2013-09-08,357537000
18,2013-09-15,359044000
18,2013-09-19,359310145
19,2013-07-07,48936000
19,2013-07-14,71101000
19,2013-07-21,81171000
19,2013-07-28,85275000
19,2013-08-04,86731000
19,2013-08-11,87400000
19,2013-08-18,87700000
19,2013-08-25,87998000
19,2013-09-01,88431000
19,2013-09-08,88806000
19,2013-09-15,88877083
19,2013-09-19,89008027
20,2013-07-14,42500000
20,2013-07-21,79500000
20,2013-07-28,101664000
20,2013-08-04,116400000
20,2013-08-11,123800000
20,2013-08-18,127435000
20,2013-08-25,128995000
20,2013-09-01,129224157
20,2013-09-08,130274022
20,2013-09-15,130648721
20,2013-09-19,131017503
21,2013-07-14,38300000
21,2013-07-21,68235000
21,2013-07-28,84026000
21,2013-08-04,92961000
21,2013-08-11,96770000
21,2013-08-18,98401000
21,2013-08-25,99175000
21,2013-09-01,100117000
21,2013-09-08,100514594
21,2013-09-15,100970269
21,2013-09-19,101258211
22,2013-07-21,31203000
22,2013-07-28,55768000
22,2013-08-04,69479000
22,2013-08-11,75020000
22,2013-08-18,77604000
22,2013-08-25,78774000
22,2013-09-01,79817000
22,2013-09-08,80184721
22,2013-09-15,80700526
22,2013-09-19,81205400
23,2013-07-21,18500000
23,2013-07-28,35074000
23,2013-08-04,45153000
23,2013-08-11,49441000
23,2013-08-18,50995000
23,2013-08-25,51609000
23,2013-09-01,52088000
23,2013-09-08,52462000
23,2013-09-15,52638000
23,2013-09-19,52661999
24,2013-07-28,55000000
24,2013-08-04,95039000
24,2013-08-11,111986000
24,2013-08-18,120458000
24,2013-08-25,125096000
24,2013-09-01,127809000
24,2013-09-08,129438000
24,2013-09-15,130226000
24,2013-09-19,130380138
25,2013-08-04,27761000
25,2013-08-11,46600000
